OBJECTID,Join ID,LSPC_LU_CODE,Sum acres,Summarized Area in ACRES,Count of Polygons,Percent of area,OBJECTID,MSLINK,TO_JURISDI,JURISDICTI,LTT_FEATUR,LTT_STATUS,LTT_CURREN,LTT_VERSIO,LTT_COMMIT,LTT_RETIRE,LTT_UNIQUE,MLT_TXID,GEOMETRY_A,GEOMETRY_L,Perimeter,Area,Acres,Hectares,Shape_Leng,NAME,Shape_Length,Shape_Area,Sum acres,Summarized Area in ACRES,Count of Polygons,JOIN ID
2,1,10,,571.5189965,1165,6.038523407,1,15,13,LAGUNA NIGUEL,15, ,0,0,0,0,567,0,0,0,120956.6872,412250546.7,9463.970309,3829.932903,120940.6953,LAGUNA NIGUEL,120940.6953,412241994.5,,9464.570873,33371,1
3,1,20,,97.37522919,190,1.028840057,1,15,13,LAGUNA NIGUEL,15, ,0,0,0,0,567,0,0,0,120956.6872,412250546.7,9463.970309,3829.932903,120940.6953,LAGUNA NIGUEL,120940.6953,412241994.5,,9464.570873,33371,1
4,1,30,,65.54952436,216,0.692580113,1,15,13,LAGUNA NIGUEL,15, ,0,0,0,0,567,0,0,0,120956.6872,412250546.7,9463.970309,3829.932903,120940.6953,LAGUNA NIGUEL,120940.6953,412241994.5,,9464.570873,33371,1
5,1,40,,16.93520711,97,0.178932915,1,15,13,LAGUNA NIGUEL,15, ,0,0,0,0,567,0,0,0,120956.6872,412250546.7,9463.970309,3829.932903,120940.6953,LAGUNA NIGUEL,120940.6953,412241994.5,,9464.570873,33371,1
6,1,50,,2765.932591,11637,29.22406085,1,15,13,LAGUNA NIGUEL,15, ,0,0,0,0,567,0,0,0,120956.6872,412250546.7,9463.970309,3829.932903,120940.6953,LAGUNA NIGUEL,120940.6953,412241994.5,,9464.570873,33371,1
7,1,52,,713.1226312,1816,7.534655492,1,15,13,LAGUNA NIGUEL,15, ,0,0,0,0,567,0,0,0,120956.6872,412250546.7,9463.970309,3829.932903,120940.6953,LAGUNA NIGUEL,120940.6953,412241994.5,,9464.570873,33371,1
8,1,60,,1213.651228,6353,12.82310235,1,15,13,LAGUNA NIGUEL,15, ,0,0,0,0,567,0,0,0,120956.6872,412250546.7,9463.970309,3829.932903,120940.6953,LAGUNA NIGUEL,120940.6953,412241994.5,,9464.570873,33371,1
9,1,61,,81.32669776,322,0.859278221,1,15,13,LAGUNA NIGUEL,15, ,0,0,0,0,567,0,0,0,120956.6872,412250546.7,9463.970309,3829.932903,120940.6953,LAGUNA NIGUEL,120940.6953,412241994.5,,9464.570873,33371,1
10,1,62,,16.98271271,81,0.179435246,1,15,13,LAGUNA NIGUEL,15, ,0,0,0,0,567,0,0,0,120956.6872,412250546.7,9463.970309,3829.932903,120940.6953,LAGUNA NIGUEL,120940.6953,412241994.5,,9464.570873,33371,1
11,1,70,,0.882322632,21,0.009322471,1,15,13,LAGUNA NIGUEL,15, ,0,0,0,0,567,0,0,0,120956.6872,412250546.7,9463.970309,3829.932903,120940.6953,LAGUNA NIGUEL,120940.6953,412241994.5,,9464.570873,33371,1
12,1,71,,0.683999033,19,0.007226938,1,15,13,LAGUNA NIGUEL,15, ,0,0,0,0,567,0,0,0,120956.6872,412250546.7,9463.970309,3829.932903,120940.6953,LAGUNA NIGUEL,120940.6953,412241994.5,,9464.570873,33371,1
13,1,75,,1886.599134,7789,19.93327379,1,15,13,LAGUNA NIGUEL,15, ,0,0,0,0,567,0,0,0,120956.6872,412250546.7,9463.970309,3829.932903,120940.6953,LAGUNA NIGUEL,120940.6953,412241994.5,,9464.570873,33371,1
14,1,76,,386.855321,1067,4.087400403,1,15,13,LAGUNA NIGUEL,15, ,0,0,0,0,567,0,0,0,120956.6872,412250546.7,9463.970309,3829.932903,120940.6953,LAGUNA NIGUEL,120940.6953,412241994.5,,9464.570873,33371,1
15,1,77,,1520.176651,2202,16.06174649,1,15,13,LAGUNA NIGUEL,15, ,0,0,0,0,567,0,0,0,120956.6872,412250546.7,9463.970309,3829.932903,120940.6953,LAGUNA NIGUEL,120940.6953,412241994.5,,9464.570873,33371,1
16,1,78,,73.05933481,182,0.771923734,1,15,13,LAGUNA NIGUEL,15, ,0,0,0,0,567,0,0,0,120956.6872,412250546.7,9463.970309,3829.932903,120940.6953,LAGUNA NIGUEL,120940.6953,412241994.5,,9464.570873,33371,1
17,1,79,,7.976922278,95,0.084281774,1,15,13,LAGUNA NIGUEL,15, ,0,0,0,0,567,0,0,0,120956.6872,412250546.7,9463.970309,3829.932903,120940.6953,LAGUNA NIGUEL,120940.6953,412241994.5,,9464.570873,33371,1
18,1,80,,45.44485866,112,0.480158728,1,15,13,LAGUNA NIGUEL,15, ,0,0,0,0,567,0,0,0,120956.6872,412250546.7,9463.970309,3829.932903,120940.6953,LAGUNA NIGUEL,120940.6953,412241994.5,,9464.570873,33371,1
19,1,9999,,0.497512061,6,0.005256589,1,15,13,LAGUNA NIGUEL,15, ,0,0,0,0,567,0,0,0,120956.6872,412250546.7,9463.970309,3829.932903,120940.6953,LAGUNA NIGUEL,120940.6953,412241994.5,,9464.570873,33371,1
20,2,,,0,2,2.96444E-09,2,10,18,MISSION VIEJO,10, ,0,0,0,0,572,0,0,0,123586.2542,499959445.6,11477.48957,4644.775238,123585.7072,MISSION VIEJO,123585.7072,499955088.3,,11478.22069,57412,2
21,2,10,,774.9788695,2143,6.751712909,2,10,18,MISSION VIEJO,10, ,0,0,0,0,572,0,0,0,123586.2542,499959445.6,11477.48957,4644.775238,123585.7072,MISSION VIEJO,123585.7072,499955088.3,,11478.22069,57412,2
22,2,20,,541.3166538,1111,4.716015529,2,10,18,MISSION VIEJO,10, ,0,0,0,0,572,0,0,0,123586.2542,499959445.6,11477.48957,4644.775238,123585.7072,MISSION VIEJO,123585.7072,499955088.3,,11478.22069,57412,2
23,2,30,,131.6779924,299,1.147197488,2,10,18,MISSION VIEJO,10, ,0,0,0,0,572,0,0,0,123586.2542,499959445.6,11477.48957,4644.775238,123585.7072,MISSION VIEJO,123585.7072,499955088.3,,11478.22069,57412,2
24,2,40,,192.814885,371,1.679842463,2,10,18,MISSION VIEJO,10, ,0,0,0,0,572,0,0,0,123586.2542,499959445.6,11477.48957,4644.775238,123585.7072,MISSION VIEJO,123585.7072,499955088.3,,11478.22069,57412,2
25,2,50,,3972.698716,22134,34.61076668,2,10,18,MISSION VIEJO,10, ,0,0,0,0,572,0,0,0,123586.2542,499959445.6,11477.48957,4644.775238,123585.7072,MISSION VIEJO,123585.7072,499955088.3,,11478.22069,57412,2
26,2,51,,6.864848528,50,0.059807317,2,10,18,MISSION VIEJO,10, ,0,0,0,0,572,0,0,0,123586.2542,499959445.6,11477.48957,4644.775238,123585.7072,MISSION VIEJO,123585.7072,499955088.3,,11478.22069,57412,2
27,2,52,,591.6564542,1667,5.154605337,2,10,18,MISSION VIEJO,10, ,0,0,0,0,572,0,0,0,123586.2542,499959445.6,11477.48957,4644.775238,123585.7072,MISSION VIEJO,123585.7072,499955088.3,,11478.22069,57412,2
28,2,60,,1717.637848,11920,14.96432216,2,10,18,MISSION VIEJO,10, ,0,0,0,0,572,0,0,0,123586.2542,499959445.6,11477.48957,4644.775238,123585.7072,MISSION VIEJO,123585.7072,499955088.3,,11478.22069,57412,2
29,2,61,,527.1116816,2669,4.592277483,2,10,18,MISSION VIEJO,10, ,0,0,0,0,572,0,0,0,123586.2542,499959445.6,11477.48957,4644.775238,123585.7072,MISSION VIEJO,123585.7072,499955088.3,,11478.22069,57412,2
30,2,62,,56.78562527,269,0.494724456,2,10,18,MISSION VIEJO,10, ,0,0,0,0,572,0,0,0,123586.2542,499959445.6,11477.48957,4644.775238,123585.7072,MISSION VIEJO,123585.7072,499955088.3,,11478.22069,57412,2
31,2,71,,1.00574319,23,0.008762171,2,10,18,MISSION VIEJO,10, ,0,0,0,0,572,0,0,0,123586.2542,499959445.6,11477.48957,4644.775238,123585.7072,MISSION VIEJO,123585.7072,499955088.3,,11478.22069,57412,2
32,2,75,,1586.143664,9775,13.81874248,2,10,18,MISSION VIEJO,10, ,0,0,0,0,572,0,0,0,123586.2542,499959445.6,11477.48957,4644.775238,123585.7072,MISSION VIEJO,123585.7072,499955088.3,,11478.22069,57412,2
33,2,76,,770.489881,2710,6.712614472,2,10,18,MISSION VIEJO,10, ,0,0,0,0,572,0,0,0,123586.2542,499959445.6,11477.48957,4644.775238,123585.7072,MISSION VIEJO,123585.7072,499955088.3,,11478.22069,57412,2
34,2,77,,414.3313973,1763,3.60971779,2,10,18,MISSION VIEJO,10, ,0,0,0,0,572,0,0,0,123586.2542,499959445.6,11477.48957,4644.775238,123585.7072,MISSION VIEJO,123585.7072,499955088.3,,11478.22069,57412,2
35,2,78,,15.89887046,185,0.13851344,2,10,18,MISSION VIEJO,10, ,0,0,0,0,572,0,0,0,123586.2542,499959445.6,11477.48957,4644.775238,123585.7072,MISSION VIEJO,123585.7072,499955088.3,,11478.22069,57412,2
36,2,79,,25.97155383,132,0.226266967,2,10,18,MISSION VIEJO,10, ,0,0,0,0,572,0,0,0,123586.2542,499959445.6,11477.48957,4644.775238,123585.7072,MISSION VIEJO,123585.7072,499955088.3,,11478.22069,57412,2
37,2,80,,150.8360021,189,1.314110905,2,10,18,MISSION VIEJO,10, ,0,0,0,0,572,0,0,0,123586.2542,499959445.6,11477.48957,4644.775238,123585.7072,MISSION VIEJO,123585.7072,499955088.3,,11478.22069,57412,2
38,3,50,,0.000965982,2,0.00090192,3,12,19,NEWPORT BEACH,12, ,0,0,0,0,574,0,0,0,206707.2247,719408817.5,16515.35394,6683.526615,189264.913,,28829.92322,4665051.344,,107.1028057,286,3
39,3,52,,10.13108089,27,9.459210339,3,12,19,NEWPORT BEACH,12, ,0,0,0,0,574,0,0,0,206707.2247,719408817.5,16515.35394,6683.526615,189264.913,,28829.92322,4665051.344,,107.1028057,286,3
40,3,60,,0.923966747,14,0.862692075,3,12,19,NEWPORT BEACH,12, ,0,0,0,0,574,0,0,0,206707.2247,719408817.5,16515.35394,6683.526615,189264.913,,28829.92322,4665051.344,,107.1028057,286,3
41,3,61,,5.333088428,23,4.979415809,3,12,19,NEWPORT BEACH,12, ,0,0,0,0,574,0,0,0,206707.2247,719408817.5,16515.35394,6683.526615,189264.913,,28829.92322,4665051.344,,107.1028057,286,3
42,3,70,,0.901439186,6,0.84165873,3,12,19,NEWPORT BEACH,12, ,0,0,0,0,574,0,0,0,206707.2247,719408817.5,16515.35394,6683.526615,189264.913,,28829.92322,4665051.344,,107.1028057,286,3
43,3,75,,9.912040279,73,9.254700657,3,12,19,NEWPORT BEACH,12, ,0,0,0,0,574,0,0,0,206707.2247,719408817.5,16515.35394,6683.526615,189264.913,,28829.92322,4665051.344,,107.1028057,286,3
44,3,77,,79.89266467,140,74.59436275,3,12,19,NEWPORT BEACH,12, ,0,0,0,0,574,0,0,0,206707.2247,719408817.5,16515.35394,6683.526615,189264.913,,28829.92322,4665051.344,,107.1028057,286,3
45,3,78,,0.00755954,1,0.007058202,3,12,19,NEWPORT BEACH,12, ,0,0,0,0,574,0,0,0,206707.2247,719408817.5,16515.35394,6683.526615,189264.913,,28829.92322,4665051.344,,107.1028057,286,3
46,4,50,,28.79453722,182,65.08186634,4,59,32,ORANGE CO,59, ,0,0,0,0,610,0,0,0,9736.124522,2193585.957,50.35780433,20.37908039,9729.718576,UNINCORPORATED,8721.003782,1927093.084,,43.96933415,330,4
47,4,60,,7.398665352,100,16.72257961,4,59,32,ORANGE CO,59, ,0,0,0,0,610,0,0,0,9736.124522,2193585.957,50.35780433,20.37908039,9729.718576,UNINCORPORATED,8721.003782,1927093.084,,43.96933415,330,4
48,4,75,,7.711378462,36,17.42937704,4,59,32,ORANGE CO,59, ,0,0,0,0,610,0,0,0,9736.124522,2193585.957,50.35780433,20.37908039,9729.718576,UNINCORPORATED,8721.003782,1927093.084,,43.96933415,330,4
49,4,79,,0.005434872,2,0.012283982,4,59,32,ORANGE CO,59, ,0,0,0,0,610,0,0,0,9736.124522,2193585.957,50.35780433,20.37908039,9729.718576,UNINCORPORATED,8721.003782,1927093.084,,43.96933415,330,4
50,4,80,,0.05931825,10,0.134072014,4,59,32,ORANGE CO,59, ,0,0,0,0,610,0,0,0,9736.124522,2193585.957,50.35780433,20.37908039,9729.718576,UNINCORPORATED,8721.003782,1927093.084,,43.96933415,330,4
51,5,,,0,4,5.32226E-11,5,13,22,SAN CLEMENTE,13, ,0,0,0,0,575,0,0,0,125499.5954,511576427.8,11744.17878,4752.700534,125499.3449,SAN CLEMENTE,125499.0752,511572198.4,,11740.09531,48724,5
52,5,10,,426.9593252,1471,3.635192799,5,13,22,SAN CLEMENTE,13, ,0,0,0,0,575,0,0,0,125499.5954,511576427.8,11744.17878,4752.700534,125499.3449,SAN CLEMENTE,125499.0752,511572198.4,,11740.09531,48724,5
53,5,20,,165.0138072,293,1.404951425,5,13,22,SAN CLEMENTE,13, ,0,0,0,0,575,0,0,0,125499.5954,511576427.8,11744.17878,4752.700534,125499.3449,SAN CLEMENTE,125499.0752,511572198.4,,11740.09531,48724,5
54,5,30,,255.3047346,721,2.173701992,5,13,22,SAN CLEMENTE,13, ,0,0,0,0,575,0,0,0,125499.5954,511576427.8,11744.17878,4752.700534,125499.3449,SAN CLEMENTE,125499.0752,511572198.4,,11740.09531,48724,5
55,5,40,,80.9794387,275,0.689470928,5,13,22,SAN CLEMENTE,13, ,0,0,0,0,575,0,0,0,125499.5954,511576427.8,11744.17878,4752.700534,125499.3449,SAN CLEMENTE,125499.0752,511572198.4,,11740.09531,48724,5
56,5,50,,3158.549164,16099,26.89235129,5,13,22,SAN CLEMENTE,13, ,0,0,0,0,575,0,0,0,125499.5954,511576427.8,11744.17878,4752.700534,125499.3449,SAN CLEMENTE,125499.0752,511572198.4,,11740.09531,48724,5
57,5,51,,0.185200208,3,0.001576819,5,13,22,SAN CLEMENTE,13, ,0,0,0,0,575,0,0,0,125499.5954,511576427.8,11744.17878,4752.700534,125499.3449,SAN CLEMENTE,125499.0752,511572198.4,,11740.09531,48724,5
58,5,52,,678.1736215,3577,5.774067484,5,13,22,SAN CLEMENTE,13, ,0,0,0,0,575,0,0,0,125499.5954,511576427.8,11744.17878,4752.700534,125499.3449,SAN CLEMENTE,125499.0752,511572198.4,,11740.09531,48724,5
59,5,60,,1481.930691,9615,12.61737561,5,13,22,SAN CLEMENTE,13, ,0,0,0,0,575,0,0,0,125499.5954,511576427.8,11744.17878,4752.700534,125499.3449,SAN CLEMENTE,125499.0752,511572198.4,,11740.09531,48724,5
60,5,61,,237.7165706,495,2.023952156,5,13,22,SAN CLEMENTE,13, ,0,0,0,0,575,0,0,0,125499.5954,511576427.8,11744.17878,4752.700534,125499.3449,SAN CLEMENTE,125499.0752,511572198.4,,11740.09531,48724,5
61,5,62,,55.82379249,250,0.475291003,5,13,22,SAN CLEMENTE,13, ,0,0,0,0,575,0,0,0,125499.5954,511576427.8,11744.17878,4752.700534,125499.3449,SAN CLEMENTE,125499.0752,511572198.4,,11740.09531,48724,5
62,5,70,,5.99441301,48,0.051037311,5,13,22,SAN CLEMENTE,13, ,0,0,0,0,575,0,0,0,125499.5954,511576427.8,11744.17878,4752.700534,125499.3449,SAN CLEMENTE,125499.0752,511572198.4,,11740.09531,48724,5
63,5,75,,2069.889241,8997,17.62334847,5,13,22,SAN CLEMENTE,13, ,0,0,0,0,575,0,0,0,125499.5954,511576427.8,11744.17878,4752.700534,125499.3449,SAN CLEMENTE,125499.0752,511572198.4,,11740.09531,48724,5
64,5,76,,975.7800621,3059,8.307936707,5,13,22,SAN CLEMENTE,13, ,0,0,0,0,575,0,0,0,125499.5954,511576427.8,11744.17878,4752.700534,125499.3449,SAN CLEMENTE,125499.0752,511572198.4,,11740.09531,48724,5
65,5,77,,2035.792311,3294,17.33304601,5,13,22,SAN CLEMENTE,13, ,0,0,0,0,575,0,0,0,125499.5954,511576427.8,11744.17878,4752.700534,125499.3449,SAN CLEMENTE,125499.0752,511572198.4,,11740.09531,48724,5
66,5,78,,89.34146349,157,0.760667335,5,13,22,SAN CLEMENTE,13, ,0,0,0,0,575,0,0,0,125499.5954,511576427.8,11744.17878,4752.700534,125499.3449,SAN CLEMENTE,125499.0752,511572198.4,,11740.09531,48724,5
67,5,79,,2.244501427,32,0.019110038,5,13,22,SAN CLEMENTE,13, ,0,0,0,0,575,0,0,0,125499.5954,511576427.8,11744.17878,4752.700534,125499.3449,SAN CLEMENTE,125499.0752,511572198.4,,11740.09531,48724,5
68,5,80,,0.825101416,33,0.007025023,5,13,22,SAN CLEMENTE,13, ,0,0,0,0,575,0,0,0,125499.5954,511576427.8,11744.17878,4752.700534,125499.3449,SAN CLEMENTE,125499.0752,511572198.4,,11740.09531,48724,5
69,5,9999,,19.59186713,301,0.166808158,5,13,22,SAN CLEMENTE,13, ,0,0,0,0,575,0,0,0,125499.5954,511576427.8,11744.17878,4752.700534,125499.3449,SAN CLEMENTE,125499.0752,511572198.4,,11740.09531,48724,5
70,6,,,0,1,2.6299E-08,6,22,15,LAKE FOREST,22, ,0,0,0,0,577,0,0,0,108600.1048,467930991.8,10742.21744,4347.221165,108599.6391,LAKE FOREST,106375.8601,144938387.2,,3327.543151,12678,6
71,6,10,,473.8398811,959,14.23993884,6,22,15,LAKE FOREST,22, ,0,0,0,0,577,0,0,0,108600.1048,467930991.8,10742.21744,4347.221165,108599.6391,LAKE FOREST,106375.8601,144938387.2,,3327.543151,12678,6
72,6,20,,31.57996613,45,0.949046696,6,22,15,LAKE FOREST,22, ,0,0,0,0,577,0,0,0,108600.1048,467930991.8,10742.21744,4347.221165,108599.6391,LAKE FOREST,106375.8601,144938387.2,,3327.543151,12678,6
73,6,30,,157.4265824,346,4.731030113,6,22,15,LAKE FOREST,22, ,0,0,0,0,577,0,0,0,108600.1048,467930991.8,10742.21744,4347.221165,108599.6391,LAKE FOREST,106375.8601,144938387.2,,3327.543151,12678,6
74,6,40,,8.283372553,63,0.248933086,6,22,15,LAKE FOREST,22, ,0,0,0,0,577,0,0,0,108600.1048,467930991.8,10742.21744,4347.221165,108599.6391,LAKE FOREST,106375.8601,144938387.2,,3327.543151,12678,6
75,6,50,,744.2971117,3425,22.36775575,6,22,15,LAKE FOREST,22, ,0,0,0,0,577,0,0,0,108600.1048,467930991.8,10742.21744,4347.221165,108599.6391,LAKE FOREST,106375.8601,144938387.2,,3327.543151,12678,6
76,6,51,,7.65712987,54,0.23011364,6,22,15,LAKE FOREST,22, ,0,0,0,0,577,0,0,0,108600.1048,467930991.8,10742.21744,4347.221165,108599.6391,LAKE FOREST,106375.8601,144938387.2,,3327.543151,12678,6
77,6,52,,410.1122052,915,12.32474988,6,22,15,LAKE FOREST,22, ,0,0,0,0,577,0,0,0,108600.1048,467930991.8,10742.21744,4347.221165,108599.6391,LAKE FOREST,106375.8601,144938387.2,,3327.543151,12678,6
78,6,60,,474.8448902,2562,14.27012317,6,22,15,LAKE FOREST,22, ,0,0,0,0,577,0,0,0,108600.1048,467930991.8,10742.21744,4347.221165,108599.6391,LAKE FOREST,106375.8601,144938387.2,,3327.543151,12678,6
79,6,61,,73.35933716,154,2.204608487,6,22,15,LAKE FOREST,22, ,0,0,0,0,577,0,0,0,108600.1048,467930991.8,10742.21744,4347.221165,108599.6391,LAKE FOREST,106375.8601,144938387.2,,3327.543151,12678,6
80,6,62,,5.929991892,31,0.178208343,6,22,15,LAKE FOREST,22, ,0,0,0,0,577,0,0,0,108600.1048,467930991.8,10742.21744,4347.221165,108599.6391,LAKE FOREST,106375.8601,144938387.2,,3327.543151,12678,6
81,6,70,,10.09127469,34,0.30326664,6,22,15,LAKE FOREST,22, ,0,0,0,0,577,0,0,0,108600.1048,467930991.8,10742.21744,4347.221165,108599.6391,LAKE FOREST,106375.8601,144938387.2,,3327.543151,12678,6
82,6,75,,485.0045995,2574,14.57546927,6,22,15,LAKE FOREST,22, ,0,0,0,0,577,0,0,0,108600.1048,467930991.8,10742.21744,4347.221165,108599.6391,LAKE FOREST,106375.8601,144938387.2,,3327.543151,12678,6
83,6,76,,208.9769696,758,6.280210713,6,22,15,LAKE FOREST,22, ,0,0,0,0,577,0,0,0,108600.1048,467930991.8,10742.21744,4347.221165,108599.6391,LAKE FOREST,106375.8601,144938387.2,,3327.543151,12678,6
84,6,77,,228.839554,684,6.877153892,6,22,15,LAKE FOREST,22, ,0,0,0,0,577,0,0,0,108600.1048,467930991.8,10742.21744,4347.221165,108599.6391,LAKE FOREST,106375.8601,144938387.2,,3327.543151,12678,6
85,6,78,,3.853330056,32,0.115801742,6,22,15,LAKE FOREST,22, ,0,0,0,0,577,0,0,0,108600.1048,467930991.8,10742.21744,4347.221165,108599.6391,LAKE FOREST,106375.8601,144938387.2,,3327.543151,12678,6
86,6,79,,3.446467624,36,0.10357437,6,22,15,LAKE FOREST,22, ,0,0,0,0,577,0,0,0,108600.1048,467930991.8,10742.21744,4347.221165,108599.6391,LAKE FOREST,106375.8601,144938387.2,,3327.543151,12678,6
87,6,9999,,0.000487433,5,1.46411E-05,6,22,15,LAKE FOREST,22, ,0,0,0,0,577,0,0,0,108600.1048,467930991.8,10742.21744,4347.221165,108599.6391,LAKE FOREST,106375.8601,144938387.2,,3327.543151,12678,6
88,7,,,0,1,4.4104E-09,7,24,11,LAGUNA BEACH,24,E,49623,0,0,0,1001,46198,0,0,168401.3915,246376255.7,5656.020561,2288.910313,168363.5615,LAGUNA BEACH,165507.9771,246089475.1,,5649.615923,19808,7
89,7,10,,221.4269546,1226,3.919125165,7,24,11,LAGUNA BEACH,24,E,49623,0,0,0,1001,46198,0,0,168401.3915,246376255.7,5656.020561,2288.910313,168363.5615,LAGUNA BEACH,165507.9771,246089475.1,,5649.615923,19808,7
