FACILITYID,JURISDICTI3,Qadj_Qall,QJur_US
M02-052-2,ORANGE CO,716047.7572263718,40026133.00551573
M02-052-2,SAN CLEMENTE,11287071.629025336,28199627.98556452
L01-727-1 (L01S04),DANA POINT,5352910.787394701,8353860.061753347
L01-727-1 (L01S04),LAGUNA NIGUEL,419219.7271605428,89499620.8045663
L01-747-2,ORANGE CO,60319.824684322084,40026133.00551573
L01-747-2,SAN JUAN CAPISTRANO,275806.0358764288,25949197.872955047
L03-691-1 (L03P09),MISSION VIEJO,2451419.9493494565,17249370.308589574
L03-691-1 (L03P09),ORANGE CO,6947.2089047069885,40026133.00551573
J01-9785-1,LAKE FOREST,47520,1787360.7929253485
L01-218-4,RANCHO SANTA MARGARITA,583218.274464,34981243.73386218
J07-9022-1,MISSION VIEJO,62924.4,17249370.308589574
L01-414-3,ORANGE CO,2759683.2154796827,40026133.00551573
DP04-12015-1,LAGUNA BEACH,0,2847778.2348011
DP04-12015-1,LAGUNA NIGUEL,0,89499620.8045663
DP04-12015-1,ORANGE CO,0,40026133.00551573
L03-142-1 (L03P24),ORANGE CO,26497.124060673974,40026133.00551573
L03-142-1 (L03P24),RANCHO SANTA MARGARITA,47.547799435604155,34981243.73386218
L02-166-2 (L02P25),MISSION VIEJO,257299.17186389232,17249370.308589574
L02-166-2 (L02P25),RANCHO SANTA MARGARITA,511308.8915212213,34981243.73386218
L05-489-3d,ORANGE CO,17001115.608959995,40026133.00551573
J01-9144-1 (J01P23),ALISO VIEJO,85333.82400000001,7882184.897115977
L01-766-7,SAN JUAN CAPISTRANO,0,25949197.872955047
L02-622-2 (L02P32),ORANGE CO,107468.40078047829,40026133.00551573
L02-622-2 (L02P32),RANCHO SANTA MARGARITA,1215666.8188563664,34981243.73386218
L02-198-1 (L02P29),RANCHO SANTA MARGARITA,130486.36809599996,34981243.73386218
L01-303-4,ORANGE CO,230053.82399999996,40026133.00551573
L03-708-9,LAGUNA NIGUEL,1081669.342392,89499620.8045663
J07-9110-1,LAKE FOREST,35.83678046256,1787360.7929253485
J07-9110-1,MISSION VIEJO,18259.36319941272,17249370.308589574
K01-12058-1 (K01P08),LAGUNA NIGUEL,2037341.6408771412,89499620.8045663
K01-12058-1 (K01P08),SAN JUAN CAPISTRANO,46376.55278909426,25949197.872955047
L03-708-11 (L03P05),LAGUNA HILLS,1276694.2403137058,9902690.13337109
L03-708-11 (L03P05),LAGUNA NIGUEL,15156.564526825752,89499620.8045663
LC06-11019-1,LAGUNA BEACH,21217.602369824635,2847778.2348011
LC06-11019-1,ORANGE CO,2303.799071190336,40026133.00551573
L01-404-2,ORANGE CO,488146.176,40026133.00551573
LC05-11017-2,LAGUNA BEACH,0,2847778.2348011
K01-12036-5,LAGUNA NIGUEL,816222.7407323248,89499620.8045663
L02-204-1 (L02P45),RANCHO SANTA MARGARITA,35392.896,34981243.73386218
L01-766-3,SAN JUAN CAPISTRANO,23068.800000000003,25949197.872955047
L02-502-5,SAN JUAN CAPISTRANO,24105.600000000002,25949197.872955047
M01-099-1,SAN CLEMENTE,60629.650848,28199627.98556452
L01-760-1,ORANGE CO,191731.92013344594,40026133.00551573
M01-038-6,SAN CLEMENTE,20415.888000000003,28199627.98556452
L01-218-2,RANCHO SANTA MARGARITA,102905.99424,34981243.73386218
K01-12138-1 (K01TBN1),LAGUNA NIGUEL,1585163.8533411229,89499620.8045663
L01-494-1,ORANGE CO,959200.7039999999,40026133.00551573
L03-455-7,LAGUNA NIGUEL,395232.4704615272,89499620.8045663
L03-455-7,SAN JUAN CAPISTRANO,64570.277496390234,25949197.872955047
J01-9046-2,LAKE FOREST,12121.961707326238,1787360.7929253485
J01-9046-2,MISSION VIEJO,74.838425984784,17249370.308589574
J01-10019-1 (J01P33),ALISO VIEJO,21212.928000000004,7882184.897115977
L01-335-1,ORANGE CO,90295.92035912875,40026133.00551573
L01-335-1,RANCHO SANTA MARGARITA,22853.133061351244,34981243.73386218
K01-12058-2 (K01P09),LAGUNA NIGUEL,1607994.835526548,89499620.8045663
K01-12058-2 (K01P09),SAN JUAN CAPISTRANO,49266.49640040094,25949197.872955047
L01-618-5 (L01S09),SAN JUAN CAPISTRANO,15759777.604895996,25949197.872955047
J07-9109-4 (J07P02),LAKE FOREST,1072.5186938574238,1787360.7929253485
J07-9109-4 (J07P02),MISSION VIEJO,83037.8813574499,17249370.308589574
L03-662-1,MISSION VIEJO,142560,17249370.308589574
J01-9005-3,LAGUNA HILLS,3789.005389106034,9902690.13337109
J01-9005-3,LAGUNA NIGUEL,269824.6198557204,89499620.8045663
M02-061-4 (SCBS@M02),SAN CLEMENTE,373346.77296815993,28199627.98556452
L03-316-1,MISSION VIEJO,22631.399999999998,17249370.308589574
J03-9215-3,LAGUNA NIGUEL,591872.832,89499620.8045663
L03-316-4,MISSION VIEJO,73596.59999999999,17249370.308589574
J01-9082-4,ALISO VIEJO,472205.8102075554,7882184.897115977
J01-9082-4,ORANGE CO,10388.297299493393,40026133.00551573
L03-708-13,MISSION VIEJO,1255775.466744,17249370.308589574
J01-9008-1 (J01P30),ALISO VIEJO,711115.2000000001,7882184.897115977
J01-9005-1 (J03P05),LAGUNA NIGUEL,200317.536,89499620.8045663
L01-760-2,ORANGE CO,948638.083344,40026133.00551573
SC09-081-2d,SAN CLEMENTE,1340128.070352,28199627.98556452
L03-241-3,MISSION VIEJO,2823081.4655999993,17249370.308589574
J01-9349-1,LAKE FOREST,2029.7869041542401,1787360.7929253485
J01-9349-1,MISSION VIEJO,3.0130905604800007,17249370.308589574
L03-316-2,MISSION VIEJO,107870.4,17249370.308589574
L01-749-3,SAN JUAN CAPISTRANO,26644.464,25949197.872955047
L02-541-9 (L02P02),SAN JUAN CAPISTRANO,35525.952000000005,25949197.872955047
I01-11195-2,ALISO VIEJO,4578608.8836,7882184.897115977
L01-728-3 (L01S02),DANA POINT,251834.25161716566,8353860.061753347
L01-728-3 (L01S02),SAN CLEMENTE,5873.501076135551,28199627.98556452
L01-728-3 (L01S02),SAN JUAN CAPISTRANO,2628917.1482519014,25949197.872955047
LC06-11509-2,LAGUNA BEACH,1383659.5213198469,2847778.2348011
LC06-11509-2,ORANGE CO,799385.780256779,40026133.00551573
L03-240-1 (L03P14),MISSION VIEJO,328974.80443027196,17249370.308589574
L03-240-1 (L03P14),RANCHO SANTA MARGARITA,3665.1957427007997,34981243.73386218
M02-061-6,SAN CLEMENTE,126148.75115759997,28199627.98556452
J07-9109-2,LAKE FOREST,16474.170555135457,1787360.7929253485
J07-9109-2,MISSION VIEJO,842845.5217306874,17249370.308589574
M01-050-4 (M01@CGV),SAN CLEMENTE,1182001.9204282498,28199627.98556452
L03-418-1,LAGUNA NIGUEL,11478.350962996996,89499620.8045663
L03-418-1,MISSION VIEJO,198146.47686344493,17249370.308589574
L03-693-1 (L03P11),MISSION VIEJO,617627.4192,17249370.308589574
L03-241-4,MISSION VIEJO,147193.19999999998,17249370.308589574
L01-223-1 (L08TBN1),ORANGE CO,13270.973204060509,40026133.00551573
L01-223-1 (L08TBN1),RANCHO SANTA MARGARITA,296416.8673255057,34981243.73386218
L01-766-2 (L01S06),SAN JUAN CAPISTRANO,2155263.9957698486,25949197.872955047
SC11-026-1 (M00P01),DANA POINT,1388275.3180121423,8353860.061753347
SC11-026-1 (M00P01),SAN CLEMENTE,648963.8749521913,28199627.98556452
SC11-026-1 (M00P01),SAN JUAN CAPISTRANO,32993.301780580914,25949197.872955047
J07-9110-2,MISSION VIEJO,21938.4,17249370.308589574
M01-124-2,SAN CLEMENTE,105707.931552,28199627.98556452
L01-125-2,ORANGE CO,10564.254938590215,40026133.00551573
L01-125-2,RANCHO SANTA MARGARITA,9775.168919033817,34981243.73386218
L01-517-6,ORANGE CO,124340.832,40026133.00551573
K01-12155-5,LAGUNA NIGUEL,748615.46303268,89499620.8045663
L01-303-5,ORANGE CO,393425.47843200003,40026133.00551573
J01-10017-1 (J01TBN4),ALISO VIEJO,268575.58800864004,7882184.897115977
K01-12036-10,LAGUNA NIGUEL,0,89499620.8045663
L01-514-1,ORANGE CO,35525.952,40026133.00551573
J01-9033-1,LAKE FOREST,1825.4649684974468,1787360.7929253485
J01-9033-1,ORANGE CO,64536.21735349773,40026133.00551573
L02-166-1 (L02PXX),MISSION VIEJO,11109.394922392568,17249370.308589574
L02-166-1 (L02PXX),RANCHO SANTA MARGARITA,192284.8453704951,34981243.73386218
L03-708-1,LAGUNA HILLS,1354.3368927482877,9902690.13337109
L03-708-1,LAGUNA NIGUEL,432546.45510612085,89499620.8045663
J01-9046-1,LAKE FOREST,28036.800000000003,1787360.7929253485
L04-136-1 (L04P07),MISSION VIEJO,5971939.256249999,17249370.308589574
DP01-12022-1,DANA POINT,868334.8210559998,8353860.061753347
DP06-12106-1,DANA POINT,0,8353860.061753347
I00-11518-1,LAGUNA BEACH,628086.8069610063,2847778.2348011
I00-11518-1,ORANGE CO,21498.54836049781,40026133.00551573
I00-11518-2,LAGUNA BEACH,60373.361664000004,2847778.2348011
I01-11015-3,LAGUNA BEACH,78634.95594767999,2847778.2348011
I01-11487-2,LAGUNA BEACH,52669.469212669464,2847778.2348011
I01-11503-5,ALISO VIEJO,185908.69447904726,7882184.897115977
J01-10004-2,LAKE FOREST,0,1787360.7929253485
J01-10041-2 (J03P13),LAGUNA HILLS,3043.810909695485,9902690.13337109
J01-10041-2 (J03P13),LAGUNA NIGUEL,31406872.515500464,89499620.8045663
J01-9040-1,LAKE FOREST,910923.3862953706,1787360.7929253485
J01-9040-1,ORANGE CO,195.39485263892877,40026133.00551573
J01-9046-3,LAKE FOREST,196732.8,1787360.7929253485
J01-9066-1 (J01P04),LAKE FOREST,2557.4820021986397,1787360.7929253485
J01-9066-1 (J01P04),MISSION VIEJO,87334.5167051544,17249370.308589574
J01-9066-2 (J01P03),LAKE FOREST,5146.776638517361,1787360.7929253485
J01-9066-2 (J01P03),MISSION VIEJO,623754.023581598,17249370.308589574
J01-9259-3,LAKE FOREST,0,1787360.7929253485
J01-9264-1 (J01P06),LAKE FOREST,562883.8083798285,1787360.7929253485
J01-9275-2,LAKE FOREST,0,1787360.7929253485
J01-9275-2,MISSION VIEJO,0,17249370.308589574
J01-9313-1,ALISO VIEJO,624357.3313985748,7882184.897115977
J01-9313-1,ORANGE CO,4919.349289230081,40026133.00551573
J01-9782-1 (J01TBN3),LAKE FOREST,0,1787360.7929253485
J01-9782-1 (J01TBN3),MISSION VIEJO,0,17249370.308589574
J03-9215-1,LAGUNA NIGUEL,593730.2598198383,89499620.8045663
J03-9216-2,LAGUNA NIGUEL,40669151.40817471,89499620.8045663
J03-9216-2,SAN JUAN CAPISTRANO,60799.80902920828,25949197.872955047
J03-9216-5,LAGUNA NIGUEL,296865.12990991917,89499620.8045663
J04-9249-1,ALISO VIEJO,934866.637422159,7882184.897115977
J04-9249-1,LAGUNA HILLS,8324201.932752101,9902690.13337109
J04-9249-1,LAGUNA NIGUEL,2328258.2176145194,89499620.8045663
K01-12036-1,LAGUNA NIGUEL,1273202.08235136,89499620.8045663
K01-12062-1,LAGUNA NIGUEL,1744810.894590883,89499620.8045663
K01-12062-1,SAN JUAN CAPISTRANO,62918.541185548784,25949197.872955047
K01-12155-1,LAGUNA NIGUEL,0,89499620.8045663
K01-12156-1,LAGUNA NIGUEL,643269.9652020968,89499620.8045663
L01-125-1,ORANGE CO,6002020.1975022815,40026133.00551573
L01-125-1,RANCHO SANTA MARGARITA,29083486.24460032,34981243.73386218
L01-125-3,ORANGE CO,5110.154122483008,40026133.00551573
L01-125-3,RANCHO SANTA MARGARITA,474873.6154030141,34981243.73386218
L01-218-1,ORANGE CO,79274.39046719557,40026133.00551573
L01-218-1,RANCHO SANTA MARGARITA,114927.21123472306,34981243.73386218
L01-218-3,RANCHO SANTA MARGARITA,57463.60561736153,34981243.73386218
L01-242-1 (L07P16),ORANGE CO,56858.51024110712,40026133.00551573
L01-242-1 (L07P16),RANCHO SANTA MARGARITA,194.10076802129706,34981243.73386218
L01-261-1,ORANGE CO,24305.61026076394,40026133.00551573
L01-261-1,RANCHO SANTA MARGARITA,36.19869850579994,34981243.73386218
L01-303-1,ORANGE CO,39637.195233597784,40026133.00551573
L01-303-2,ORANGE CO,854738.4384,40026133.00551573
L01-303-3,ORANGE CO,61041.28065974058,40026133.00551573
L01-372-1,ORANGE CO,111234.5812847617,40026133.00551573
L01-391-3,ORANGE CO,152375.44246848,40026133.00551573
L01-399-2,ORANGE CO,12210.549120000001,40026133.00551573
L01-414-1,ORANGE CO,0,40026133.00551573
L01-471-1,ORANGE CO,120057.53256000004,40026133.00551573
L01-517-3,ORANGE CO,17715.305236331806,40026133.00551573
L01-517-3,SAN JUAN CAPISTRANO,2679.4332857887184,25949197.872955047
L01-556-1,SAN JUAN CAPISTRANO,1670305.25667312,25949197.872955047
L01-602-2,SAN JUAN CAPISTRANO,71170.9548335474,25949197.872955047
L01-618-1,SAN JUAN CAPISTRANO,644657.6159999999,25949197.872955047
L01-618-2,SAN JUAN CAPISTRANO,71170.9548335474,25949197.872955047
L01-728-2,DANA POINT,40781.10021581099,8353860.061753347
L01-728-4,DANA POINT,84509.85312000001,8353860.061753347
L01-730-1,ORANGE CO,42108.47298109778,40026133.00551573
L01-730-1,RANCHO SANTA MARGARITA,286362.03773861995,34981243.73386218
L01-733-2,ORANGE CO,1790689.8548648676,40026133.00551573
L01-733-2,RANCHO SANTA MARGARITA,15963.963539265493,34981243.73386218
L01-733-7,ORANGE CO,206248.38518591996,40026133.00551573
L01-747-1,SAN JUAN CAPISTRANO,633913.3224,25949197.872955047
L01-749-2d,SAN JUAN CAPISTRANO,1001989.5816268801,25949197.872955047
L01-749-5,SAN JUAN CAPISTRANO,133436.167776,25949197.872955047
L02-344-2,ORANGE CO,5152282.515072,40026133.00551573
L02-359-1 (L02P43),MISSION VIEJO,129007.06231960478,17249370.308589574
L02-359-1 (L02P43),ORANGE CO,1140.7739331522557,40026133.00551573
L02-366-1 (MVL02P14),MISSION VIEJO,129929.184,17249370.308589574
L02-396-1,MISSION VIEJO,355696.99520980945,17249370.308589574
L02-396-1,ORANGE CO,2587.3670817558705,40026133.00551573
L02-401-2 (COL02P55),ORANGE CO,0,40026133.00551573
L02-502-1,MISSION VIEJO,7027.581724966743,17249370.308589574
L02-502-1,ORANGE CO,85306.37136882503,40026133.00551573
L02-502-1,SAN JUAN CAPISTRANO,246137.5110389769,25949197.872955047
L02-502-6,SAN JUAN CAPISTRANO,148739.2988656159,25949197.872955047
L02-541-6,SAN JUAN CAPISTRANO,33283.43395199999,25949197.872955047
L02-571-3,SAN JUAN CAPISTRANO,4830.952752,25949197.872955047
L02-640-1 (L11P02),RANCHO SANTA MARGARITA,1843914.7548662396,34981243.73386218
L03-418-2,LAGUNA NIGUEL,18400.105799999998,89499620.8045663
L03-455-5,LAGUNA NIGUEL,312403.79362694797,89499620.8045663
L03-455-5,SAN JUAN CAPISTRANO,40848.8094421705,25949197.872955047
L04-266-1,MISSION VIEJO,36887.4000368874,17249370.308589574
L04-301-1 (L04P08),MISSION VIEJO,441425.121984,17249370.308589574
L04-702-1 (L04P02),LAGUNA HILLS,293606.8071137341,9902690.13337109
LC01-11446-1,LAGUNA BEACH,0,2847778.2348011
LC01-11446-1,ORANGE CO,0,40026133.00551573
LC01-11480-1,ORANGE CO,72267.84565560246,40026133.00551573
LC02-11508-2,LAGUNA BEACH,298040.75270064006,2847778.2348011
LC03-11515-1,LAGUNA BEACH,170134.272,2847778.2348011
LC04-11199-1,LAGUNA BEACH,154961.49262543282,2847778.2348011
M00.1-071-2 (M00S04),SAN CLEMENTE,883959.9358836397,28199627.98556452
M00.2-066-1 (M00S07),SAN CLEMENTE,0,28199627.98556452
M01-038-3,SAN CLEMENTE,65008.229045759996,28199627.98556452
M01-050-7,SAN CLEMENTE,31.834943999999993,28199627.98556452
SC01-077-1,SAN CLEMENTE,955048.3199999997,28199627.98556452
SC01-077-2,SAN CLEMENTE,91923.40079999997,28199627.98556452
SC02-072-4,SAN CLEMENTE,290424.3099326698,28199627.98556452
SC06-146-1 (M00P02),SAN CLEMENTE,36977.72021336859,28199627.98556452
SC06-146-2 (M00P02),SAN CLEMENTE,0,28199627.98556452
SC07-079-4,SAN CLEMENTE,1732624.7859359994,28199627.98556452
SC07-079-5,SAN CLEMENTE,8404155.17608752,28199627.98556452
SC10-075-1 (M00P05),DANA POINT,90388.33033752727,8353860.061753347
SC10-075-1 (M00P05),SAN CLEMENTE,10257.844353561777,28199627.98556452
SC10-075-3 (M00S01),DANA POINT,276825.6,8353860.061753347
SM01-086-1 (M03P01),ORANGE CO,70421.58682498487,40026133.00551573
SM01-086-1 (M03P01),SAN CLEMENTE,333799.36920832825,28199627.98556452
SM01-086-2,SAN CLEMENTE,245129.06879999998,28199627.98556452
SC11-130-2,DANA POINT,0,8353860.061753347
J03-9368-1 (J03TBN1),LAGUNA NIGUEL,0,89499620.8045663
J03-9368-1 (J03TBN1),SAN JUAN CAPISTRANO,0,25949197.872955047
L03-455-2,SAN JUAN CAPISTRANO,0,25949197.872955047
L01-458-1,ORANGE CO,0,40026133.00551573
J07-9109-1,MISSION VIEJO,0,17249370.308589574
J01-9144-4 (J01P26),ALISO VIEJO,0,7882184.897115977
J03-9368-2 (J03TBN2),LAGUNA NIGUEL,0,89499620.8045663
J05-9800-2,LAGUNA HILLS,0,9902690.13337109
I01-11023-2,LAGUNA BEACH,0,2847778.2348011
J01-9082-3,ALISO VIEJO,0,7882184.897115977
J01-9082-3,ORANGE CO,0,40026133.00551573
L01-766-4,SAN JUAN CAPISTRANO,0,25949197.872955047
J07-9110-3,MISSION VIEJO,0,17249370.308589574
DP01-12022-2,DANA POINT,0,8353860.061753347
I00-11453-1,LAGUNA BEACH,0,2847778.2348011
I01-11015-2,LAGUNA BEACH,0,2847778.2348011
I01-11015-2,ORANGE CO,0,40026133.00551573
I01-11023-3,LAGUNA BEACH,0,2847778.2348011
I01-11023-3,ORANGE CO,0,40026133.00551573
I01-11023-4,LAGUNA BEACH,0,2847778.2348011
I01-11023-5,LAGUNA BEACH,0,2847778.2348011
I01-11023-5,ORANGE CO,0,40026133.00551573
I01-11059-1,LAGUNA BEACH,0,2847778.2348011
I01-11059-2,LAGUNA BEACH,0,2847778.2348011
I01-11059-3,LAGUNA BEACH,0,2847778.2348011
I01-11065-1,LAGUNA BEACH,0,2847778.2348011
I01-11077-1,LAGUNA BEACH,0,2847778.2348011
I01-11077-1,ORANGE CO,0,40026133.00551573
I01-11077-2,LAGUNA BEACH,0,2847778.2348011
I01-11093-1,LAGUNA BEACH,0,2847778.2348011
I01-11093-1,ORANGE CO,0,40026133.00551573
I01-11093-2,LAGUNA BEACH,0,2847778.2348011
I01-11093-2,ORANGE CO,0,40026133.00551573
I01-11487-1,ALISO VIEJO,0,7882184.897115977
I01-11487-1,LAGUNA BEACH,0,2847778.2348011
I01-11487-1,LAGUNA WOODS,0,0
I01-11487-1,ORANGE CO,0,40026133.00551573
J01-10006-1,LAKE FOREST,0,1787360.7929253485
J01-10012-3,MISSION VIEJO,0,17249370.308589574
J01-10012-3,ORANGE CO,0,40026133.00551573
J01-10012-3,RANCHO SANTA MARGARITA,0,34981243.73386218
J01-9275-1,LAKE FOREST,0,1787360.7929253485
J01-9275-1,MISSION VIEJO,0,17249370.308589574
J01-9364-3 (J01P21),ALISO VIEJO,0,7882184.897115977
J01-9364-3 (J01P21),LAGUNA NIGUEL,0,89499620.8045663
J01-9364-3 (J01P21),ORANGE CO,0,40026133.00551573
J01-9364-4,ALISO VIEJO,0,7882184.897115977
J01-9364-4,ORANGE CO,0,40026133.00551573
J01-9377-2 (J01TBN8),LAKE FOREST,0,1787360.7929253485
J01-9377-2 (J01TBN8),MISSION VIEJO,0,17249370.308589574
J03-9216-1 (J03P01),LAGUNA NIGUEL,0,89499620.8045663
J05-9255-1 (J05P01),LAGUNA HILLS,0,9902690.13337109
J05-9271-6,LAGUNA HILLS,0,9902690.13337109
J07-9022-6,MISSION VIEJO,0,17249370.308589574
K01-12156-3,LAGUNA NIGUEL,0,89499620.8045663
L01-335-2,ORANGE CO,0,40026133.00551573
L01-391-1,ORANGE CO,0,40026133.00551573
L01-399-1,ORANGE CO,0,40026133.00551573
L01-414-2,ORANGE CO,0,40026133.00551573
L01-517-1,ORANGE CO,0,40026133.00551573
L01-517-1,SAN JUAN CAPISTRANO,0,25949197.872955047
L01-517-2,SAN JUAN CAPISTRANO,0,25949197.872955047
L01-517-7,ORANGE CO,0,40026133.00551573
L01-517-8,SAN JUAN CAPISTRANO,0,25949197.872955047
L01-601-1,SAN JUAN CAPISTRANO,0,25949197.872955047
L01-618-3,SAN JUAN CAPISTRANO,0,25949197.872955047
L01-618-4,SAN JUAN CAPISTRANO,0,25949197.872955047
L01-724-2,SAN JUAN CAPISTRANO,0,25949197.872955047
L01-726-2,DANA POINT,0,8353860.061753347
L01-726-3,SAN JUAN CAPISTRANO,0,25949197.872955047
L01-726-6,DANA POINT,0,8353860.061753347
L01-726-6,SAN JUAN CAPISTRANO,0,25949197.872955047
L01-726-7,SAN JUAN CAPISTRANO,0,25949197.872955047
L01-726-8,SAN JUAN CAPISTRANO,0,25949197.872955047
L01-726-9,SAN JUAN CAPISTRANO,0,25949197.872955047
L01-727-2,DANA POINT,0,8353860.061753347
L01-727-3,DANA POINT,0,8353860.061753347
L01-728-6,DANA POINT,0,8353860.061753347
L01-728-8d,DANA POINT,0,8353860.061753347
L01-728-9,DANA POINT,0,8353860.061753347
L01-733-4,ORANGE CO,0,40026133.00551573
L01-733-5,ORANGE CO,0,40026133.00551573
L01-748-1,SAN JUAN CAPISTRANO,0,25949197.872955047
L01-748-2,SAN JUAN CAPISTRANO,0,25949197.872955047
L01-766-5,SAN JUAN CAPISTRANO,0,25949197.872955047
L01-766-8,SAN JUAN CAPISTRANO,0,25949197.872955047
L02-344-1,ORANGE CO,0,40026133.00551573
L02-344-1,RANCHO SANTA MARGARITA,0,34981243.73386218
L02-374-2 (MVL02P20),MISSION VIEJO,0,17249370.308589574
L02-401-1,MISSION VIEJO,0,17249370.308589574
L02-401-1,ORANGE CO,0,40026133.00551573
L02-541-2,SAN JUAN CAPISTRANO,0,25949197.872955047
L02-541-7,SAN JUAN CAPISTRANO,0,25949197.872955047
L02-571-1,SAN JUAN CAPISTRANO,0,25949197.872955047
L02-571-5 (L02TBN2),LAGUNA NIGUEL,0,89499620.8045663
L02-571-5 (L02TBN2),SAN JUAN CAPISTRANO,0,25949197.872955047
L02-622-1 (L02P28),RANCHO SANTA MARGARITA,0,34981243.73386218
L03-418-3,LAGUNA NIGUEL,0,89499620.8045663
L03-455-3 (L03P37),LAGUNA NIGUEL,0,89499620.8045663
L03-455-3 (L03P37),MISSION VIEJO,0,17249370.308589574
L03-455-3 (L03P37),SAN JUAN CAPISTRANO,0,25949197.872955047
L03-455-4,SAN JUAN CAPISTRANO,0,25949197.872955047
L03-455-6,LAGUNA NIGUEL,0,89499620.8045663
L03-455-6,MISSION VIEJO,0,17249370.308589574
L03-455-6,SAN JUAN CAPISTRANO,0,25949197.872955047
L03-497-1,LAGUNA NIGUEL,0,89499620.8045663
L03-497-1,SAN JUAN CAPISTRANO,0,25949197.872955047
L03-708-5,LAGUNA NIGUEL,0,89499620.8045663
L03-708-5,MISSION VIEJO,0,17249370.308589574
L04-702-4,LAGUNA HILLS,0,9902690.13337109
L04-702-4,MISSION VIEJO,0,17249370.308589574
LC02-11508-3,LAGUNA BEACH,0,2847778.2348011
LC02-11508-3,ORANGE CO,0,40026133.00551573
LC05-11017-1,LAGUNA BEACH,0,2847778.2348011
M01-002-1,ORANGE CO,0,40026133.00551573
M01-003-1,ORANGE CO,0,40026133.00551573
M01-003-2,ORANGE CO,0,40026133.00551573
M01-168-1d (M00P03),DANA POINT,0,8353860.061753347
M01-168-2d (M00P03),DANA POINT,0,8353860.061753347
M02-061-5,SAN CLEMENTE,0,28199627.98556452
M02-142-1,SAN CLEMENTE,0,28199627.98556452
SC02-072-1,SAN CLEMENTE,0,28199627.98556452
SC03-067-1,SAN CLEMENTE,0,28199627.98556452
SC05-073-1,SAN CLEMENTE,0,28199627.98556452
SC05-073-3,SAN CLEMENTE,0,28199627.98556452
SC11-035-1d,DANA POINT,0,8353860.061753347
SC11-035-2d,DANA POINT,0,8353860.061753347
SC11-035-3d,DANA POINT,0,8353860.061753347
SC12-068-2,SAN CLEMENTE,0,28199627.98556452
SC12-068-4,SAN CLEMENTE,0,28199627.98556452
